#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,
30,Israel,"4,723,607",,"11,865                                ",,"4,698,956",,"12,786",22,"506,499","1,272","41,373,364","4,436,346","9,326,000 ",Asia,,27860,,,"1,371",
31,Thailand,"4,707,244",,"33,180                                ",,"4,649,509",,"24,555","1,496","67,171",473,"17,270,775","246,450","70,078,203 ",Asia,,"152,1124",,,350,
32,Belgium,"4,639,411",,"33,061                                ",,"4,583,532","+1,450","22,818",37,"397,609","2,833","36,130,437","3,096,467","11,668,278 ",Europe,,33530,,,"1,956",
33,Czechia,"4,559,200",,"41,888                                ",,"4,507,686",,"9,626",48,"424,634","3,901","56,621,436","5,273,594","10,736,784 ",Europe,,22560,,,897,
34,Canada,"4,408,276",,"47,781                                ",,"4,302,825","+2,291","57,670",99,"114,833","1,245","66,343,123","1,728,207","38,388,419 ",North America,,98031,,,"1,502",
35,Switzerland,"4,317,035",,"14,318                                ",,"4,222,548","+4,873","80,169",53,"492,046","1,632","22,932,989","2,613,852","8,773,637 ",Europe,,26130,,,"9,137",
36,Peru,"4,266,251",,"217,428                                ",,"3,971,278","+4,481","77,545",94,"126,654","6,455","36,513,459","1,083,993","33,684,208 ",South America,,81551,,,"2,302",
37,South Africa,"4,042,208",,"102,464                                ",,"3,912,506",,"27,238",192,"66,532","1,686","26,473,049","435,726","60,756,135 ",Africa,,155932,,,448,
38,Philippines,"4,037,547",,"64,658                                ",,"3,954,477",,"18,412",162,"35,886",575,"33,690,102","299,444","112,508,994 ",Asia,,"281,7403",,,164,
39,Romania,"3,296,834",,"67,276                                ",,"3,225,629",+429,"3,929",94,"173,232","3,535","25,759,760","1,353,545","19,031,335 ",Europe,,62831,,,206,
40,Denmark,"3,148,210",,"7,537                                ",,"3,135,434",,"5,239",9,"539,544","1,292","128,821,813","22,077,621","5,834,950 ",Europe,,27740,,,898,
41,Sweden,"2,632,091",,"21,095                                ",,"2,593,838",,"17,158",19,"257,569","2,064","19,155,093","1,874,464","10,218,971 ",Europe,,44841,,,"1,679",
42,Iraq,"2,463,724",,"25,364                                ",,"2,437,149",,"1,211",21,"58,431",602,"19,448,292","461,243","42,164,965 ",Asia,,"171,6622",,,29,
43,Serbia,"2,424,048",,"17,392                                ",,"2,395,750",,"10,906",14,"280,139","2,010","11,636,435","1,344,784","8,653,016 ",Europe,,44981,,,"1,260",
44,Singapore,"2,169,201",,"1,703                                ",,"2,093,063",,"74,435",7,"364,967",287,"24,622,510","4,142,731","5,943,546 ",Asia,,"33,4900",,,"12,524",
45,Hungary,"2,166,352",,"48,287                                ",,"2,104,358",,"13,707",7,"225,515","5,027","11,394,556","1,186,160","9,606,259 ",Europe,,41991,,,"1,427",
46,Hong Kong,"2,128,382",,"10,762                                ",,"1,880,869",,"236,751",18,"279,892","1,415","70,602,097","9,284,498","7,604,299 ",Asia,,47070,,,"31,134",
47,Bangladesh,"2,036,597",,"29,433                                ",,"1,985,899",,"21,265","1,331","12,131",175,"15,087,849","89,870","167,885,689 ",Asia,,"825,70411",,,127,
48,New Zealand,"1,945,117",,"3,297                                ",,"1,915,871",,"25,949",,"397,108",673,"7,544,063","1,540,170","4,898,203 ",Australia/Oceania,,"31,4861",,,"5,298",
49,Slovakia,"1,856,083",,"20,734                                ",,"1,834,064",,"1,285",23,"339,930","3,797","7,355,239","1,347,066","5,460,193 ",Europe,,32631,,,235,
50,Georgia,"1,805,698",,"16,881                                ",,"1,776,548",,"12,269",,"454,980","4,253","16,920,079","4,263,340","3,968,738 ",Asia,,22350,,,"3,091",
51,Jordan,"1,746,997",,"14,122                                ",,"1,731,007",,"1,868",59,"169,597","1,371","17,201,885","1,669,945","10,300,869 ",Asia,,67291,,,181,
52,Ireland,"1,678,827",,"8,131                                ",,"1,666,088",+557,"4,608",11,"334,414","1,620","12,836,506","2,556,972","5,020,199 ",Europe,,36170,,,918,
53,Pakistan,"1,575,250",+24,"30,632                                ",,"1,538,689",,"5,929",41,"6,864",133,"30,570,862","133,213","229,488,994 ",Asia,,"1467,4928",0.1,,26,
54,Norway,"1,469,233",,"4,325                                ",,"1,462,530",,"2,378",20,"266,582",785,"11,002,430","1,996,315","5,511,370 ",Europe,,"41,2741",,,431,
55,Finland,"1,405,255",,"7,448                                ",,"1,361,449",,"36,358",21,"252,973","1,341","11,825,322","2,128,786","5,554,960 ",Europe,,47460,,,"6,545",
56,Kazakhstan,"1,397,084",+162,"13,693                                ",,"1,380,356",,"3,035",24,"72,746",713,"11,575,012","602,707","19,205,043 ",Asia,,"141,4032",8,,158,
57,Bulgaria,"1,287,409",,"38,044                                ",,"1,244,867",,"4,498",43,"188,091","5,558","10,823,765","1,581,359","6,844,597 ",Europe,,51801,,,657,
58,Lithuania,"1,276,600",,"9,434                                ",,"1,261,845",,"5,321",5,"479,617","3,544","10,260,710","3,854,935","2,661,708 ",Europe,,22820,,,"1,999",
59,Morocco,"1,269,002",,"16,284                                ",,"1,251,428",,"1,290",293,"33,596",431,"12,758,920","337,781","37,772,756 ",Africa,,"302,3203",,,34,
60,Slovenia,"1,260,071",,"6,936                                ",,"1,238,696",,"14,439",19,"606,377","3,338","2,785,919","1,340,651","2,078,034 ",Europe,,23001,,,"6,948",
61,Croatia,"1,254,083",,"17,330                                ",,"1,234,598",,"2,155",11,"308,942","4,269","5,364,868","1,321,628","4,059,286 ",Europe,,32341,,,531,
62,Lebanon,"1,220,602",,"10,737                                ",,"1,087,587",,"122,278",74,"182,592","1,606","4,795,578","717,380","6,684,849 ",Asia,,56231,,,"18,292",
63,Guatemala,"1,157,543",,"19,952                                ",,"1,132,426",,"5,165",5,"62,287","1,074","6,327,127","340,460","18,584,039 ",North America,,169313,,,278,
64,Tunisia,"1,147,072",,"29,268                                ",,N/A,N/A,N/A,44,"95,219","2,430","4,975,826","413,046","12,046,656 ",Africa,,114122,,,648,
65,Costa Rica,"1,146,135",,"9,038                                ",,"860,711",,"276,386",52,"221,161","1,744","4,659,757","899,158","5,182,354 ",North America,,55731,,,"53,332",
66,Cuba,"1,111,398",,"8,530                                ",,"1,102,783",,85,23,"98,305",754,"14,233,813","1,259,000","11,305,652 ",North America,,"101,3251",,,8,
67,Bolivia,"1,111,357",,"22,248                                ",,"1,077,956",,"11,153",220,"92,670","1,855","2,705,422","225,590","11,992,656 ",South America,,115394,,,930,
68,UAE,"1,044,468",,"2,348                                ",,"1,024,155",,"17,965",,"103,600",233,"197,252,835","19,565,269","10,081,785 ",Asia,,"104,2940",,,"1,782",
69,Ecuador,"1,011,132",,"35,940                                ",,"973,448",,"1,744",759,"55,822","1,984","3,082,403","170,173","18,113,361 ",South America,,185046,,,96,
70,Panama,"1,002,161",,"8,526                                ",,"985,881",,"7,754",16,"225,358","1,917","7,256,244","1,631,730","4,446,964 ",North America,,45221,,,"1,744",
71,Nepal,"1,000,894",,"12,019                                ",,"988,719",,156,,"33,114",398,"5,978,304","197,790","30,225,582 ",Asia,,"302,5155",,,5,
72,Belarus,"994,037",,"7,118                                ",,"985,592",,"1,327",,"105,381",755,"13,646,641","1,446,722","9,432,800 ",Europe,,"91,3251",,,141,
73,Uruguay,"993,875",,"7,537                                ",,"985,312",,"1,026",18,"284,288","2,156","6,114,822","1,749,083","3,496,016 ",South America,,44641,,,293,
74,Mongolia,"993,037",,"2,179                                ",,"986,700",,"4,158",192,"293,965",645,"4,030,048","1,193,000","3,378,078 ",Asia,,"31,5501",,,"1,231",
75,Latvia,"961,627",,"6,086                                ",,"950,319",,"5,222",3,"520,125","3,292","7,746,372","4,189,862","1,848,837 ",Europe,,23040,,,"2,824",
76,Saudi Arabia,"825,640",,"9,465                                ",,"813,180",,"2,995",47,"23,034",264,"44,817,844","1,250,327","35,844,909 ",Asia,,"433,7871",,,84,
77,Azerbaijan,"824,385",,"9,981                                ",,"814,148",,256,,"80,036",969,"7,377,282","716,227","10,300,205 ",Asia,,"121,0321",,,25,
78,Paraguay,"718,164",,"19,621                                ",,"698,317",,226,7,"98,300","2,686","2,657,506","363,751","7,305,843 ",South America,,103723,,,31,
79,Bahrain,"696,451",,"1,536                                ",,"693,962",,953,2,"390,391",861,"10,574,920","5,927,702","1,783,983 ",Asia,,"31,1610",,,534,
80,Sri Lanka,"671,687",,"16,805                                ",,"654,803",,79,,"31,131",779,"6,486,117","300,619","21,575,842 ",Asia,,"321,2843",,,4,
81,Kuwait,"662,672",,"2,570                                ",,"659,992",,110,,"151,284",587,"8,441,451","1,927,128","4,380,326 ",Asia,,"71,7041",,,25,
82,Dominican Republic,"650,381",,"4,384                                ",,"644,066",,"1,931",4,"58,824",397,"3,738,144","338,099","11,056,370 ",North America,,"172,5223",,,175,
83,Myanmar,"633,261",,"19,488                                ",,"607,777",,"5,996",,"11,466",353,"9,674,209","175,171","55,227,143 ",Asia,,"872,8346",,,109,
84,Palestine,"620,816",,"5,404                                ",,"614,962",,450,17,"116,137","1,011","3,078,533","575,907","5,345,541 ",Asia,,99892,,,84,
85,Cyprus,"614,237",,"1,226                                ",,"601,436",,"11,575",60,"502,079","1,002","9,640,118","7,879,860","1,223,387 ",Asia,,29980,,,"9,461",
86,Estonia,"609,233",,"2,790                                ",,"524,990",,"81,453",3,"460,873","2,111","3,606,878","2,728,535","1,321,910 ",Europe,,24740,,,"61,618",
87,Moldova,"595,073",,"11,918                                ",,"504,142",,"79,013",49,"148,280","2,970","3,216,305","801,437","4,013,171 ",Europe,,73371,,,"19,688",
88,Venezuela,"547,631",,"5,828                                ",,"540,742",,"1,061",36,"18,712",199,"3,359,014","114,771","29,266,991 ",South America,,"535,0229",,,36,
89,Egypt,"515,645",,"24,613                                ",,"442,182",,"48,850",122,"4,857",232,"3,693,367","34,792","106,156,692 ",Africa,,"2064,31329",,,460,
90,Libya,"507,084",,"6,437                                ",,"500,604",,43,,"72,021",914,"2,483,318","352,707","7,040,745 ",Africa,,"141,0943",,,6,
91,Ethiopia,"494,645",,"7,572                                ",,"472,452",,"14,621",1,"4,094",63,"5,365,426","44,411","120,812,698 ",Africa,,"24415,95523",,,121,
92,Qatar,"478,848",,685                                ,,"476,620",,"1,543",,"160,692",230,"4,065,369","1,364,257","2,979,915 ",Asia,,"64,3501",,,518,
93,Réunion,"477,305",,903                                ,,"418,572",,"57,830",10,"525,631",994,"1,603,660","1,766,027","908,061 ",Africa,,"21,0061",,,"63,685",
94,Honduras,"458,569",,"11,051                                ",,N/A,N/A,N/A,105,"44,864","1,081","1,566,268","153,236","10,221,247 ",North America,,229257,,,"30,816",
95,Armenia,"445,737",,"8,710                                ",,"434,866",,"2,161",,"149,981","2,931","3,235,175","1,088,564","2,971,966 ",Asia,,73411,,,727,
96,Bosnia and Herzegovina,"400,564",,"16,202                                ",,"378,402",,"5,960",,"123,276","4,986","1,879,544","578,443","3,249,317 ",Europe,,82012,,,"1,834",
97,Oman,"399,027",,"4,260                                ",,"384,669",,"10,098",2,"74,949",800,"25,000,000","4,695,724","5,323,993 ",Asia,,"131,2500",,,"1,897",
98,North Macedonia,"344,710",,"9,568                                ",,"334,335",,807,,"165,622","4,597","2,141,032","1,028,697","2,081,304 ",Europe,,62181,,,388,
99,Kenya,"341,696",,"5,684                                ",,"335,359",,653,1,"6,078",101,"3,942,744","70,137","56,215,221 ",Africa,,"1659,89014",,,12,
100,Zambia,"333,746",,"4,019                                ",,"329,690",,37,,"17,141",206,"3,765,147","193,380","19,470,234 ",Africa,,"584,8455",,,2,
101,Albania,"333,360",,"3,593                                ",,"328,211",,"1,556",,"116,300","1,254","1,941,032","677,173","2,866,374 ",Europe,,97981,,,543,
102,Botswana,"326,633",,"2,790                                ",,"323,747",,96,1,"133,802","1,143","2,026,898","830,300","2,441,162 ",Africa,,78751,,,39,
103,Luxembourg,"297,757",,"1,133                                ",,"288,991",,"7,633",,"463,528","1,764","4,412,567","6,869,188","642,371 ",Europe,,25670,,,"11,883",
104,Montenegro,"283,750",,"2,790                                ",,"280,725",,235,6,"451,867","4,443","2,664,715","4,243,515","627,950 ",Europe,,22250,,,374,
